iter	Passed	Remaining
0	1	143
1	3	194
2	6	197
3	7	185
4	9	189
5	12	188
6	13	183
7	15	178
8	17	176
9	18	166
10	19	157
11	21	154
12	22	152
13	25	153
14	27	154
15	29	153
16	31	152
17	33	150
18	35	149
19	36	147
20	38	143
21	39	138
22	40	134
23	41	132
24	43	130
25	45	128
26	47	127
27	48	125
28	50	124
29	52	122
30	54	120
31	56	119
32	57	117
33	58	114
34	59	111
35	61	108
36	63	107
37	64	105
38	66	104
39	68	103
40	70	101
41	71	98
42	73	97
43	75	95
44	76	93
45	78	92
46	79	89
47	80	87
48	82	85
49	84	84
50	86	82
51	87	80
52	89	79
53	91	77
54	92	75
55	94	73
56	96	72
57	98	71
58	100	69
59	101	67
60	102	65
61	103	63
62	105	61
63	107	60
64	109	58
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	119	49
71	121	47
72	123	45
73	126	44
74	128	42
75	129	40
76	131	39
77	133	37
78	135	35
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	25
85	142	23
86	143	21
87	144	19
88	146	18
89	148	16
90	150	14
91	151	13
92	153	11
93	155	9
94	157	8
95	159	6
96	160	4
97	162	3
98	164	1
99	165	0
