iter	Passed	Remaining
0	136	136271
1	138	69277
2	140	46834
3	142	35482
4	144	28708
5	145	24186
6	147	20933
7	149	18544
8	151	16695
9	153	15197
10	155	13970
11	157	12933
12	158	12070
13	160	11333
14	162	10663
15	164	10109
16	166	9624
17	168	9194
18	170	8818
19	172	8463
20	174	8131
21	176	7832
22	177	7559
23	180	7324
24	182	7098
25	184	6895
26	185	6694
27	187	6512
28	189	6335
29	191	6178
30	192	6029
31	194	5887
32	196	5759
33	198	5643
34	200	5533
35	202	5426
36	204	5320
37	206	5224
38	208	5134
39	210	5045
40	212	4962
41	214	4883
42	215	4802
43	217	4724
44	219	4651
45	220	4581
46	222	4512
47	224	4456
48	226	4401
49	228	4343
50	230	4290
51	232	4234
52	233	4178
53	235	4128
54	238	4090
55	240	4051
56	242	4011
57	244	3971
58	246	3928
59	248	3887
60	249	3848
61	251	3811
62	253	3776
63	255	3741
64	257	3705
65	259	3670
66	261	3635
67	262	3603
68	264	3570
69	267	3548
70	269	3526
71	271	3496
72	273	3468
73	274	3438
74	276	3415
75	278	3389
76	280	3362
77	282	3337
78	284	3319
79	286	3296
80	288	3275
81	290	3252
82	291	3220
83	293	3198
84	295	3176
85	296	3156
86	298	3135
87	300	3118
88	302	3100
89	304	3080
90	306	3062
91	308	3047
92	310	3029
93	312	3012
94	314	2997
95	316	2982
96	318	2966
97	321	2957
98	323	2948
99	327	2946
100	329	2932
101	331	2918
102	333	2905
103	336	2895
104	338	2883
105	340	2871
106	343	2867
107	345	2855
108	347	2841
109	349	2828
110	352	2823
111	356	2822
112	358	2815
113	361	2806
114	363	2796
115	365	2787
116	367	2776
117	370	2765
118	372	2757
119	374	2747
120	376	2736
121	378	2722
122	380	2712
123	382	2703
124	384	2694
125	387	2688
126	389	2678
127	391	2666
128	393	2656
129	395	2648
130	397	2639
131	400	2631
132	402	2623
133	404	2614
134	408	2617
135	410	2606
136	412	2597
137	414	2589
138	417	2583
139	419	2574
140	421	2566
141	422	2552
142	424	2542
143	426	2533
144	428	2524
145	430	2515
146	431	2506
147	433	2497
148	435	2488
149	437	2480
150	439	2471
151	441	2462
152	443	2453
153	444	2444
154	446	2436
155	448	2428
156	450	2421
157	452	2412
158	454	2404
159	457	2399
160	458	2388
161	460	2381
162	462	2373
163	464	2366
164	466	2358
165	467	2350
166	469	2342
167	471	2335
168	473	2327
169	475	2320
170	477	2313
171	479	2307
172	481	2300
173	483	2295
174	485	2288
175	487	2281
176	489	2274
177	491	2269
178	493	2264
179	495	2258
180	498	2254
181	500	2248
182	502	2242
183	504	2236
184	506	2231
185	508	2225
186	510	2218
187	512	2212
188	514	2205
189	515	2199
190	517	2192
191	519	2186
192	521	2180
193	523	2174
194	525	2168
195	526	2161
196	528	2155
197	530	2148
198	532	2142
199	533	2134
200	535	2129
201	537	2124
202	539	2119
203	541	2113
204	543	2108
205	545	2102
206	547	2096
207	548	2090
208	550	2085
209	552	2079
210	554	2072
211	555	2066
212	557	2060
213	559	2054
214	561	2049
215	563	2043
216	565	2039
217	567	2036
218	569	2031
219	571	2025
220	573	2020
221	575	2015
222	576	2010
223	579	2006
224	581	2001
225	583	1997
226	585	1992
227	587	1987
228	588	1983
229	592	1982
230	594	1978
231	597	1978
232	600	1975
233	601	1970
234	603	1966
235	606	1962
236	608	1957
237	609	1952
238	611	1947
239	613	1943
240	615	1938
241	617	1934
242	619	1930
243	621	1926
244	623	1921
245	625	1916
246	627	1913
247	629	1908
248	631	1905
249	633	1900
250	635	1896
251	637	1891
252	639	1887
253	641	1883
254	643	1880
255	645	1876
256	647	1872
257	649	1868
258	651	1864
259	654	1862
260	656	1859
261	658	1855
262	660	1851
263	662	1846
264	664	1842
265	665	1836
266	666	1831
267	668	1825
268	669	1819
269	670	1814
270	672	1809
271	674	1804
272	675	1798
273	676	1793
274	678	1787
275	679	1782
276	680	1776
277	681	1770
278	683	1765
279	684	1759
280	685	1754
281	687	1749
282	688	1744
283	689	1739
284	691	1733
285	692	1729
286	694	1724
287	695	1719
288	696	1714
289	698	1709
290	700	1706
291	703	1705
292	706	1704
293	708	1701
294	712	1701
295	714	1699
296	717	1698
297	720	1696
298	723	1697
299	727	1697
300	731	1698
301	734	1697
302	737	1695
303	740	1695
304	743	1693
305	746	1691
306	748	1689
307	750	1686
308	753	1684
309	755	1682
310	757	1679
311	760	1676
312	762	1672
313	764	1669
314	767	1668
315	770	1666
316	772	1665
317	775	1663
318	777	1660
319	781	1659
320	785	1662
321	788	1660
322	791	1658
323	793	1655
324	796	1653
325	798	1651
326	801	1650
327	804	1647
328	806	1644
329	808	1641
330	810	1638
331	813	1637
332	816	1635
333	819	1634
334	822	1633
335	825	1631
336	830	1633
337	833	1631
338	835	1628
339	838	1626
340	840	1624
341	843	1623
342	846	1620
343	848	1618
344	851	1616
345	853	1614
346	856	1612
347	858	1609
348	861	1606
349	863	1603
350	865	1600
351	867	1597
352	870	1594
353	872	1592
354	875	1590
355	878	1588
356	880	1586
357	882	1583
358	885	1580
359	887	1578
360	890	1575
361	892	1573
362	894	1570
363	896	1567
364	899	1564
365	901	1561
366	904	1559
367	906	1557
368	909	1554
369	911	1552
370	913	1548
371	916	1546
372	918	1543
373	920	1540
374	922	1537
375	925	1535
376	927	1532
377	930	1530
378	932	1527
379	934	1525
380	937	1522
381	939	1519
382	941	1517
383	944	1514
384	946	1512
385	948	1509
386	951	1507
387	953	1504
388	956	1502
389	958	1499
390	960	1496
391	962	1493
392	965	1491
393	968	1489
394	970	1486
395	972	1483
396	974	1479
397	976	1477
398	979	1474
399	981	1472
400	983	1469
401	986	1466
402	988	1464
403	990	1461
404	993	1459
405	995	1456
406	997	1453
407	1000	1451
408	1002	1448
409	1004	1445
410	1006	1442
411	1009	1440
412	1012	1438
413	1014	1436
414	1016	1433
415	1018	1430
416	1021	1427
417	1023	1425
418	1026	1422
419	1028	1420
420	1030	1417
421	1032	1414
422	1034	1411
423	1036	1408
424	1039	1405
425	1041	1403
426	1044	1401
427	1046	1399
428	1049	1396
429	1051	1393
430	1053	1390
431	1056	1388
432	1059	1386
433	1061	1384
434	1063	1381
435	1065	1378
436	1068	1375
437	1070	1373
438	1072	1370
439	1074	1367
440	1076	1364
441	1078	1361
442	1080	1359
443	1082	1356
444	1085	1353
445	1087	1350
446	1089	1348
447	1092	1345
448	1094	1343
449	1096	1340
450	1098	1337
451	1101	1335
452	1103	1332
453	1105	1329
454	1107	1326
455	1109	1323
456	1111	1320
457	1113	1318
458	1116	1316
459	1118	1313
460	1120	1310
461	1122	1307
462	1125	1305
463	1127	1302
464	1129	1299
465	1132	1297
466	1134	1294
467	1136	1291
468	1138	1288
469	1140	1285
470	1142	1282
471	1144	1280
472	1147	1278
473	1149	1275
474	1151	1272
475	1152	1269
476	1154	1266
477	1156	1263
478	1158	1260
479	1160	1257
480	1162	1254
481	1164	1251
482	1166	1248
483	1169	1246
484	1171	1243
485	1173	1241
486	1175	1238
487	1177	1235
488	1180	1233
489	1182	1230
490	1184	1227
491	1186	1225
492	1189	1222
493	1191	1220
494	1193	1217
495	1195	1214
496	1197	1211
497	1199	1208
498	1200	1205
499	1202	1202
500	1204	1199
501	1206	1197
502	1208	1194
503	1210	1191
504	1212	1188
505	1213	1185
506	1215	1181
507	1216	1178
508	1218	1175
509	1220	1172
510	1222	1169
511	1224	1167
512	1226	1164
513	1228	1161
514	1230	1158
515	1232	1155
516	1233	1152
517	1235	1149
518	1237	1146
519	1239	1144
520	1241	1141
521	1242	1138
522	1244	1135
523	1246	1132
524	1248	1129
